,CustomerID,pfm_spent,fm_nb_orders,fm_nb_items,fm_total_spent,fm_used_coupon,first_order_month,fm_purchased_accessory,first_item_size,accepts_marketing,wealthy_zip,region,first_item_price_range
7740,Anonymous10961,0.0,1,1,25.0,0,2,1,No size,0,1,W,low
7741,Anonymous10963,0.0,1,1,45.0,1,3,0,XL,0,0,S,high
7742,Anonymous10966,0.0,1,4,150.0,1,9,0,S,0,0,MW,high
7743,Anonymous10938,0.0,1,1,48.0,0,6,0,S,0,0,S,high
7744,Anonymous10935,0.0,1,1,50.0,0,11,0,M,0,0,MW,high
7745,Anonymous10904,0.0,1,1,42.0,0,7,0,S,0,0,S,medium
7746,Anonymous10917,0.0,1,1,18.9,1,9,1,No size,0,0,W,low
7747,Anonymous10906,0.0,1,4,165.0,1,6,0,S,1,0,NE,medium
7748,Anonymous10908,0.0,1,4,140.0,0,5,0,S,0,0,S,medium
7749,Anonymous10909,0.0,1,1,50.0,0,11,0,S,0,0,W,high
7750,Anonymous10913,0.0,1,2,35.0,0,1,1,No size,0,0,W,low
7751,Anonymous10914,0.0,1,5,178.0,0,4,1,L,1,0,S,high
7752,Anonymous10916,0.0,1,2,31.0,0,3,1,No size,0,1,W,low
7753,Anonymous10918,0.0,1,1,25.0,0,2,1,No size,0,0,W,low
7754,Anonymous10934,0.0,1,2,28.8,1,5,1,No size,0,1,MW,low
7755,Anonymous10919,0.0,1,1,45.0,0,12,0,L,0,0,W,medium
7756,Anonymous10922,0.0,1,1,48.0,0,6,0,S,0,0,W,high
7757,Anonymous10924,0.0,1,1,16.0,0,11,1,No size,0,0,S,low
7758,Anonymous10925,0.0,1,1,40.0,0,6,0,L,0,0,W,medium
7759,Anonymous10927,0.0,1,1,43.2,1,4,0,XS,1,0,MW,high
7760,Anonymous10930,0.0,1,1,43.2,1,6,0,S,0,1,W,high
7761,Anonymous10558,0.0,1,1,45.0,0,8,0,XL,0,0,S,high
7762,Anonymous11111,0.0,1,1,36.0,1,4,0,M,0,0,W,high
7763,Anonymous10255,0.0,1,2,72.0,0,10,0,L,0,0,MW,low
7764,Anonymous10169,0.0,1,2,88.0,0,3,0,L,0,1,S,high
7765,Anonymous10170,0.0,1,1,45.0,1,4,0,XL,0,1,NE,high
7766,Anonymous10171,0.0,1,1,36.0,1,12,0,S,0,0,NE,high
7767,Anonymous10172,0.0,1,1,16.0,0,11,1,No size,0,0,W,low
7768,Anonymous10174,0.0,1,2,58.4,1,12,0,XS,0,0,S,medium
7769,Anonymous10175,0.0,1,1,15.0,0,7,0,M,0,0,W,low
7770,Anonymous10176,0.0,1,1,48.0,0,6,0,M,0,0,W,high
7771,Anonymous10177,0.0,1,1,50.0,0,3,0,M,0,0,S,high
7772,Anonymous10178,0.0,1,2,85.0,1,6,0,M,0,0,S,high
7773,Anonymous10179,0.0,1,2,85.0,1,9,0,M,0,0,S,high
7774,Anonymous10181,0.0,1,1,35.0,0,7,0,M,1,1,W,medium
7775,Anonymous10182,0.0,1,1,48.0,0,6,0,XS,1,0,W,high
7776,Anonymous10186,0.0,1,1,50.0,0,1,0,M,0,1,MW,high
7777,Anonymous10187,0.0,1,1,50.0,0,10,0,XS,0,0,S,high
7778,Anonymous10188,0.0,1,1,50.0,0,3,0,XS,0,0,S,high
7779,Anonymous10189,0.0,1,2,90.0,1,3,0,XS,1,0,W,high
7780,Anonymous1019,0.0,1,1,48.0,0,6,0,S,0,1,NE,high
7781,Anonymous10190,0.0,1,3,80.0,0,7,0,S,0,0,S,medium
7782,Anonymous10168,0.0,1,1,48.0,0,6,0,L,0,1,NE,high
7783,Anonymous10145,0.0,1,2,85.0,1,8,0,L,0,0,W,high
7784,Anonymous10135,0.0,1,1,48.0,0,8,0,XS,0,1,NE,high
7785,Anonymous10138,0.0,1,1,25.0,0,6,1,No size,1,1,W,low
7786,Anonymous10141,0.0,1,3,70.0,0,8,0,L,0,0,MW,low
7787,Anonymous10154,0.0,1,3,110.0,0,11,0,M,1,0,NE,medium
7788,Anonymous10156,0.0,1,1,45.0,0,12,0,XS,0,0,S,high
7789,Anonymous10157,0.0,1,1,45.0,1,3,0,M,0,0,MW,high
7790,Anonymous1016,0.0,1,1,40.0,0,6,0,S,0,0,NE,high
